model,dataset,freeze_fraction,data_split,best_val_acc,final_train_acc,final_val_acc,wall_time_seconds,trainable_params,total_params,domain_shift_acc
resnet50,cifar10,0,0.25,0.9503,0.99744,0.9502,595.8723435401917,23528522,23528522,0.542
resnet50,cifar10,0.25,0.25,0.9444,0.9952,0.9444,509.33279156684875,23122442,23528522,0.5576
resnet50,cifar10,0.5,0.25,0.9385,0.99384,0.9385,443.96607732772827,21099530,23528522,0.5548
resnet50,cifar10,0.75,0.25,0.9095,0.98104,0.9077,400.3775715827942,16103434,23528522,0.5472
resnet50,cifar10,1.0,0.25,0.7094,0.68224,0.7041,357.39338994026184,20490,23528522,0.511
resnet50,cifar10,0,0.5,0.959,0.99636,0.959,1071.7490265369415,23528522,23528522,0.5564
resnet50,cifar10,0.25,0.5,0.9543,0.99608,0.9533,885.3850703239441,23122442,23528522,0.5412
resnet50,cifar10,0.5,0.5,0.9499,0.9938,0.9495,771.050897359848,21099530,23528522,0.5398
resnet50,cifar10,0.75,0.5,0.9289,0.9818,0.9289,675.0843307971954,16103434,23528522,0.5594
resnet50,cifar10,1.0,0.5,0.7275,0.68916,0.7199,600.8636190891266,20490,23528522,0.5142
resnet50,cifar10,0,1.0,0.9668,0.9964,0.9668,2014.6972591876984,23528522,23528522,0.566
resnet50,cifar10,0.25,1.0,0.9661,0.99652,0.9654,1661.8440022468567,23122442,23528522,0.566
resnet50,cifar10,0.5,1.0,0.9598,0.99462,0.9598,1420.2529442310333,21099530,23528522,0.5502
resnet50,cifar10,0.75,1.0,0.945,0.98216,0.9448,1240.9348306655884,16103434,23528522,0.5722
resnet50,cifar10,1.0,1.0,0.7379,0.69998,0.7355,1097.9279615879059,20490,23528522,0.5302
resnet50,cifar100,0,0.25,0.7665,0.99088,0.7658,592.586092710495,23712932,23712932,
resnet50,cifar100,0.25,0.25,0.7622,0.9888,0.7622,504.2232449054718,23306852,23712932,
resnet50,cifar100,0.5,0.25,0.749,0.98496,0.749,442.511039018631,21283940,23712932,
resnet50,cifar100,0.75,0.25,0.7101,0.95904,0.7101,396.93493914604187,16287844,23712932,
resnet50,cifar100,1.0,0.25,0.4839,0.47728,0.4758,359.98515486717224,204900,23712932,
resnet50,cifar100,0,0.5,0.805,0.98824,0.804,1067.5488164424896,23712932,23712932,
resnet50,cifar100,0.25,0.5,0.7957,0.98664,0.7956,889.4017581939697,23306852,23712932,
resnet50,cifar100,0.5,0.5,0.7895,0.98184,0.7878,758.1268591880798,21283940,23712932,
resnet50,cifar100,0.75,0.5,0.7495,0.95124,0.7477,690.1233887672424,16287844,23712932,
resnet50,cifar100,1.0,0.5,0.522,0.50232,0.519,628.2992010116577,204900,23712932,
resnet50,cifar100,0,1.0,0.8415,0.98424,0.8415,1960.0914731025696,23712932,23712932,
resnet50,cifar100,0.25,1.0,0.8365,0.9822,0.8342,1634.186842918396,23306852,23712932,
resnet50,cifar100,0.5,1.0,0.8222,0.97702,0.8222,1413.3343439102173,21283940,23712932,
resnet50,cifar100,0.75,1.0,0.7934,0.94134,0.7934,1276.4791045188904,16287844,23712932,
resnet50,cifar100,1.0,1.0,0.5498,0.52058,0.5399,1126.85076212883,204900,23712932,
efficientnet_b3,cifar10,0,0.25,0.9267,0.95416,0.9256,627.8654344081879,10711602,10711602,0.5492
efficientnet_b3,cifar10,0.25,0.25,0.9227,0.94712,0.9227,510.7762780189514,10605424,10711602,0.5598
efficientnet_b3,cifar10,0.5,0.25,0.9114,0.92952,0.9114,479.8291952610016,9852760,10711602,0.5504
efficientnet_b3,cifar10,0.75,0.25,0.8466,0.8276,0.8466,425.216082572937,7615852,10711602,0.572
efficientnet_b3,cifar10,1.0,0.25,0.5624,0.51576,0.5591,390.1602373123169,15370,10711602,0.5844
efficientnet_b3,cifar10,0,0.5,0.9458,0.97276,0.9448,1119.058750629425,10711602,10711602,0.5598
efficientnet_b3,cifar10,0.25,0.5,0.9417,0.96796,0.9404,903.0099132061005,10605424,10711602,0.5636
efficientnet_b3,cifar10,0.5,0.5,0.9341,0.9506,0.9328,831.9591796398163,9852760,10711602,0.5574
efficientnet_b3,cifar10,0.75,0.5,0.8686,0.85664,0.868,729.4635660648346,7615852,10711602,0.5544
efficientnet_b3,cifar10,1.0,0.5,0.5967,0.54732,0.5967,654.2654821872711,15370,10711602,0.5594
efficientnet_b3,cifar10,0,1.0,0.9616,0.98596,0.9609,1580.5640428066254,10711602,10711602,0.5664
efficientnet_b3,cifar10,0.25,1.0,0.9581,0.97964,0.9566,1248.173746585846,10605424,10711602,0.5592
efficientnet_b3,cifar10,0.5,1.0,0.9501,0.96454,0.9499,1129.4546337127686,9852760,10711602,0.5736
efficientnet_b3,cifar10,0.75,1.0,0.8936,0.87744,0.8902,905.725412607193,7615852,10711602,0.5696
efficientnet_b3,cifar10,1.0,1.0,0.6201,0.56604,0.6128,574.5926508903503,15370,10711602,0.569
efficientnet_b3,cifar100,0,0.25,0.7362,0.84192,0.7351,577.3151309490204,10849932,10849932,
efficientnet_b3,cifar100,0.25,0.25,0.7305,0.81752,0.7293,493.98614835739136,10743754,10849932,
